office_number,office_direction,municipality_name,province_name,postal_code,geo_extraction
2089.0,"Corredera, 1",Hinojosa-del-duque,Córdoba,14270,
7052.0,"Puerta La Muela, 9",Iznajar,Córdoba,14970,"['50196 La Muela, Zaragoza, Spain', 41.5820467, -1.1173154, 'ChIJCdnUcexdWQ0RrrA160ngqJA']"
6636.0,"Av.del Parque - Av. Del Parque, S/n Edif.elosua",Lucena,Córdoba,14900,"['Av. del Parque, 14900 Lucena, Córdoba, Spain', 37.4113487, -4.4922221, 'ChIJla1Pt8VwbQ0RqHf6YZZUv5Q']"
3560.0,"C/ Peso - Peso, 2",Lucena,Córdoba,14900,
4400.0,"Av. De Andalucia - Av. De Andalucia, 56",Montilla,Córdoba,14550,"['Av. de Andalucía, 56, 14550 Montilla, Córdoba, Spain', 37.5813527, -4.6462054, 'ChIJ40KNkoIUbQ0R8DNJrruNij4']"
7668.0,"Corredera, 85",Montoro,Córdoba,14600,
4920.0,"C/ Feria - Feria, 38",Palma-del-rio,Córdoba,14700,
5060.0,"Pl. Santa Barbara - Pl. Santa Barbara, 18",Peñarroya-pueblonuevo,Córdoba,14200,"['Plaza Sta. Bárbara, 18, 14200 Peñarroya-Pueblonuevo, Córdoba, Spain', 38.2992563, -5.2670049, 'ChIJr7e4Z8tFEw0Ra1ALITmC4Hk']"
1589.0,"Gaitan, 43",Posadas,Córdoba,14730,
1817.0,"Mayor - Mayor, 58",Pozoblanco,Córdoba,14400,
1519.0,"Carrera De Las Monjas, 9",Priego-de-cordoba,Córdoba,14800,"['Calle Carrera de las Monjas, 9, 14800 Priego de Córdoba, Córdoba, Spain', 37.4382918, -4.1951814, 'ChIJT97UDv-QbQ0RscEGMO5pn5A']"
5237.0,"Av. De La Estacion - Av.de La Estacion, 2 - 4 Esq.p.picasso",Puente-genil,Córdoba,14500,
3262.0,"Pl. Romeral - Pz. Del Romeral, 14",Puente-genil,Córdoba,14500,
1536.0,"Constitucion, 3",Rute,Córdoba,14960,
3271.0,"Alta, 20",Villa-del-rio,Córdoba,14640,
6973.0,"Ps. De Colon, 10",Albolote,Granada,18220,"['Paseo de Colón, 10, 18220 Albolote, Granada, Spain', 37.2292736, -3.6528978, 'ChIJrZIgQeX9cQ0R6cgyel1LeQ8']"
7376.0,"Av. De Andalucia, S - N Esq.cerveteri",Almuñecar,Granada,18690,"['Av. de Andalucia, S-N Esq. Cerveteri, 18690 Almuñécar, Granada, Spain', 36.7328096, -3.6885644, 'ChIJnzYMRZqIcQ0R3M8SoTSIrjM']"
520.0,"Av. De Poniente, 23",Armilla,Granada,18100,
1571.0,"Av. De Andalucia, 55",Atarfe,Granada,18230,"['Av. de Andalucía, 16, 29007 Málaga, Spain', 36.7174051, -4.432386999999999, 'ChIJyYMjPpn3cg0RDf_g8WXeREQ']"
1101.0,"Dolores, 2",Baza,Granada,18800,
6443.0,"San Ramon, 34",Churriana-de-la-vega,Granada,18194,"['796 El Camino Real Suite C, San Carlos, CA 94070, USA', 37.5045218, -122.2573463, 'ChIJQfeaUgOij4AR6Yv9fbGa1BI']"
3341.0,"Pz. Gregorio Salvador, 18",Cullar,Granada,18850,
2745.0,"Real De Malaga, 6",Gabia-grande,Granada,18110,"['Calle Real de Málaga, 6, 18110 Gabia Grande, Granada, Spain', 37.1360818, -3.6677806, 'ChIJ164sxF35cQ0R1Aj5D5nblW8']"
3387.0,"Cno Ronda 138 - Camino De Ronda, 138",Granada,Granada,18003,"['Calle, Camino de Ronda, 138, 18003 Granada, Spain', 37.1770286, -3.609737899999999, 'ChIJd9K-wpL8cQ0RU3SwNoy7r28']"
7086.0,"Recogidas - Camino De Ronda, 74",Granada,Granada,18004,"['Calle, Camino de Ronda, 74, 18004 Granada, Spain', 37.17017999999999, -3.6053583, 'ChIJjYqvJpf8cQ0R5VM-UszYuDA']"
463.0,"Alhamar - Alhamar, 12 - 14",Granada,Granada,18005,
